Supplier.Number,accountsPayable,accountsReceivable,bankCashBalances,bankOverdraft,debitOwnedWithinOneYear,financialAssets,fixedAssets,intangibleAssets,otherCurrentAssets,otherCurrentLiabilities,otherEquity,otherTermAssets,otherTermLiabilities,prepayments,retainedEarnings,subscribedCapital,termLoans,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalInventories,totalLiabilities,totalShareholderEquity,totalTermAssets,totalTermLiabilities,accountPayableAccrualFromCashFlow,capitalExpenditure,changeInInventoriesFromCashFlow,netChangeInCashAndCashEquivalents,netFundingCashFlow,netInvestingCashFlow,unbilledAccountsReceivableRevenueFromCashFlow,currency,financialDate,period,abnormalItems,amortization,companyTaxExpense,costOfGoodsSold,depreciation,earningsBeforeInterestAndTax,grossProfit,interestExpense,interestReceived,investmentIncome,netInvestmentIncome,netProfitAfterTax,netProfitAfterTaxAndMinorityInterests,netProfitBeforeTax,netSurplus,otherIncome,otherInvestmentExpense,otherOperatingExpense,totalOperatingExpense,totalOperatingRevenue,totalStaffCosts,salesRevenue,RRID,id,eqyYear,CHS,FHR,Group,Parent.ID,X.Other.Currency.to.USD,Inflation.Rate....,inf_factor,diff_days
521740,,,1067.235897,,3.472546716,740.6530148,1555.4982,,,,,,,,,,1017.95974,6325.632952,3580.921564,842.3051168,,2046.055915,4279.577036,,,,,,,-510.091608,-609.6117886,,JPY,2024-06-30,Q1,,,243.8630264,,,773.4885272,,,,,,563.5923701,,,,,,,,,,4132.951857,7J1qEzJ,2025Q1,2025,72,90,HDM A1,P112482,0.006539636,,1.0,365
521749,,,278.7219269,,471.2180308,132.2241106,634.2730201,,,,,,,,,,85.89995801,2778.070754,1886.974535,1549.145256,,1842.703554,935.3672003,,,,,,,-29.90695617,-116.4411353,,CNY,2024-06-30,Q2,0.0,,10.66582291,,,67.65587209,,11.36673575,4.862947368,,,55.30527405,,,,,,,,,,2547.148974,VA4wBVa,2024Q2,2024,31,42,F3,P0,0.1393,2.90%,1.017,365
521758,,,1360.273451,,205.0996273,350.5336683,2531.606246,,,,,,,,,,1148.77385,8243.661628,4508.908718,3018.068096,,4809.616141,3434.045487,,,,,,,-213.1284853,-472.5249847,,EUR,2024-06-30,Q2,-66.00172548,,145.3261825,,,590.3945639,,,,,,379.7248132,,,,,,,,,,8793.168998,kDeZO9J,2024Q2,2024,67,83,"F2, F3",P722093,1.0822,2.90%,1.017,365
521772,,,4464.112485,,1520.046833,1591.302707,7502.558163,,,,,,,,,,3070.012501,24087.50014,12255.54599,7245.818593,,11842.11674,12245.38339,,,,,,,-1207.720358,-1457.246709,,JPY,2024-06-30,Q1,6.271510924,,369.1951504,,,1337.113595,,,,,,1120.481613,,,,,,,,,,13859.35902,Wa9MkWa,2025Q1,2025,47,56,"A1, GEN 2",P980422,0.006539636,,1.0,365
577942,,,47.31372828,,51.993108,6.10919019,369.1510668,,,,,,,,,,298.3104572,1287.869285,526.8201668,338.3451503,,697.6175266,590.2517586,,,,,,,12.86829423,-86.17857651,,GBP,2024-06-30,Q2,0.0,,-10.26863883,,,49.00350429,,,,,,39.51476208,,,,,,,,,,1277.210698,kDedGmA,2024S1,2024,51,58,F3,P397518,1.2781,2.90%,1.017,365
578242P,,,35.00205465,,0.0,4.882356687,1.083152424,,,,,,,,,,0.0,56.56103991,40.95147754,13.20312664,,16.59259587,39.96844404,,,,,,,,,,JPY,2024-06-30,Q2,-0.383529411,,1.593160936,,,11.22859322,,,0.0006585,,,10.77031058,,,,,,,,,,53.06970472,JOwYGRJ,2024Q2,2024,75,90,F0,P880199,0.006607071,2.90%,1.017,365
578384,,,373.3171711,,440.3427647,366.9558074,919.5991682,,,,,,,,,,59.81958473,3714.484234,2060.877572,1479.675477,,1753.400939,1961.083295,,,,,,,-140.8395725,-169.6245514,,CNY,2024-06-30,Q2,0.0,,38.21404347,,,260.0676226,,13.27306562,6.808585886,,,204.3339357,,,,,,,,,,3488.71441,axyNn2A,2024Q2,2024,63,74,A3,P551608,0.1393,2.90%,1.017,365
579773,,,140.95872,,1.15368,50.44728,198.01344,,,,,,,,,,261.04632,617.00904,335.93064,169.69584,,520.41456,96.59448,,,,,,,-78.7197816,-12.076932,,EUR,2024-06-30,Q1,,,8.67882,,,53.2024776,,,,,,24.7317528,,,,,,,,,,629.7089592,JWGXYoJ,2025Q1,2025,76,85,A3,P189864,1.0488,,1.0,365
580167,,,528.7383,,27.6624,,1823.9895,,,,,,,,,,2740.6116,5427.4239,2141.1918,1276.4367,,4807.4607,619.9632,,,,,,,-179.6022,-204.9255,,USD,2024-06-30,Q2,-21.9672,,37.5273,,,218.2482,,201.2643,29.2896,,,2.2374,,,,,,,,,,6360.4197,mDbPQoa,2024Q2,2024,50,55,PU,P634429,1.0,2.90%,1.017,365
580404,,,117.485874,,88.893936,5.433831,43.002828,,,,,,,,,,196.826112,685.438677,243.627435,186.357114,,528.617277,156.8214,,,,,,,-4.32225,12.805047,,USD,2024-06-30,Q3,-627.24492,,15.593661,,,-566.277804,,12.796911,5.22738,,,-589.060638,,,,,,,,,,363.539871,AL47LXA,2024Q3,2024,28,31,F0,P968361,1.0,2.90%,1.017,365
580417P,,,22.03029414,,35.18764286,5.332569606,51.89310378,,,,,,,,,,6.936990823,158.148606,88.82934067,66.36858153,,85.07100532,73.07760064,,,,,,,,,,JPY,2024-06-30,Q1,-0.509221836,,-0.370221873,,,-3.086394289,,0.761350963,0.100115288,,,-1.319109978,,,,,,,,,,146.8459896,DbdMkqa,2025Q1,2025,20,38,A3,P549245,0.006539636,,1.0,365
581048,,,135.5012579,,147.4557125,,371.0785655,,,,,,,,,,88.09543656,972.411175,517.1871131,357.7704063,,472.6718108,499.7393642,,,,,,,,,,JPY,2024-06-30,Q1,-80.88875768,,7.808325384,,,-55.0964333,,6.134178568,2.471982408,,,-62.28349326,,,,,,,,,,1204.633649,AjVb75A,2025Q1,2025,15,44,A3,P203326,0.006539636,,1.0,365
581297,,,25.84197,,0.0,,91.514745,,,,,,,,,,13.221,370.481913,258.128838,120.298896,,141.031458,229.450455,,,,,,,0.073224,-7.920396,,USD,2024-06-30,YE,,,3.839175,,,18.116838,,0.9153,,,,16.707276,,,,,,,,,,546.908022,eJ3g6ZJ,2024YE,2024,45,66,F2,P452381,1.0,2.90%,1.017,365
581643,,,786.3636336,,685.6802757,479.1127512,3616.34947,,,,,,,,,,2369.337972,11778.8912,4767.797786,2440.32834,,5654.179558,6124.711646,,,,,,,-834.2124183,68.94767318,,JPY,2024-06-30,Q2,-5.005946449,,300.3366288,,,862.924377,,,,,,586.8245923,,,,,,,,,,7172.627583,YJqN7wa,2024Q2,2024,63,77,F3,P0,0.006607071,2.90%,1.017,365
583197,2.144120719,1.088802183,1.273880725,0.0,0.0,,37.84832671,3.736932288,7.639773888,0.0,27.64903662,0.0,10.21398932,,,0.0,14.54716495,59.11764455,17.53238539,6.707453661,7.529928471,31.46860793,27.64903662,41.58525916,24.76115427,,,,,,,,USD,2024-06-30,Q2,-0.329009334,,0.030312794,35.00498532,7.106133353,-1.533004443,35.63034889,3.221674537,,0.013339023,-3.288351528,-4.851667656,-4.851667656,-4.821354954,-4.851667656,0.0,0.080015526,29.7282099,36.83434366,70.63533329,,70.63533371,DQM0VPD,2024Q2,2024,17,28,"F2, HDM F3",P621872,1.0,2.90%,1.017,365
583417,100.0728,133.9389,21.8655,0.0,66.5118,25.1199,304.3881,50.85,46.5786,88.2756,-35.4933,24.0012,15.7635,,-507.5847,461.3112,463.2435,653.4225,249.0633,254.8602,46.6803,733.8672,-80.4447,404.3592,479.007,-2.9493,-12.9159,,-18.7128,-23.7978,-13.0176,-31.6287,USD,2024-06-30,Q2,-2.5425,,-1.27125,814.76955,53.7993,-22.01805,52.884,26.2386,,12.5091,-18.6111,-39.3579,-40.22235,-40.62915,-40.22235,0.0,4.8816,18.56025,72.35955,867.65355,,867.65355,aR6zpOa,2024Q2,2024,15,20,"A2, A3",P547247,1.0,2.90%,1.017,365
583417P,,,214.6253879,,171.2581078,121.3433885,506.7851914,,,,,,,,,,335.6303342,1447.894275,703.1288097,584.3859417,,937.8751648,510.0191101,,,,,,,-78.56769316,-38.31040894,,CNY,2024-06-30,Q2,0.0,,5.069291205,,,23.09504817,,32.06905504,2.654389856,,,-15.13275269,,,,,,,,,,1723.670235,J1V5nPa,2024Q2,2024,18,30,"A2, A3",P547247,0.1393,2.90%,1.017,365
583863,,,788.2390531,,1337.72221,599.926838,3717.28973,,,,,,,,,,3261.811899,14622.56897,4235.094393,3611.033655,,8334.536854,6288.032119,,,,,,,-1577.854954,-485.851018,,EUR,2024-06-30,Q2,-122.8739955,,123.862332,,,829.1416549,,222.328379,46.7764901,,,533.3197839,,,,,,,,,,7330.051323,eJ3bKYD,2024S1,2024,42,47,"A1, F3",P178180,1.0822,2.90%,1.017,365
584067,,,482.7681,,187.6860352,130.3696282,2049.575584,,,,,,,,,,460.7083387,4844.943117,2368.827299,1074.995083,,1797.914225,3047.028892,,,,,,,,,,JPY,2024-06-30,Q2,-3.426889516,,253.8384416,,,653.6959736,,7.781055018,6.558125818,,,572.4988502,,,,,,,,,,3768.698227,XAL3qga,2024Q2,2024,77,91,F3,P417778,0.006607071,2.90%,1.017,365
584281,,,312.219,,306.117,,964.9296,,,,,,,,,,1731.0357,3904.0596,1819.0062,1187.7543,,3224.3985,679.6611,,,,,,,-295.947,-48.1041,,USD,2024-06-30,Q2,-1161.3123,,-93.8691,,,-840.7539,,88.6824,6.7122,,,-828.855,,,,,,,,,,4592.772,XALle1A,2024Q2,2024,21,25,A3,P0,1.0,2.90%,1.017,365
584386,,,572.6890038,,0.0,345.1750674,781.3491696,,,,,,,,,,65.39636,3453.104378,1818.234616,881.5690913,,1191.717868,2261.38651,,,,,,,,,,JPY,2024-06-30,Q1,-24.58249172,,59.94230358,,,153.0471013,,0.281204348,8.377273716,,,159.1682006,,,,,,,,,,4099.514699,PDy3EOa,2025Q1,2025,57,79,F2,P944025,0.006539636,,1.0,365
584422,,,31.74446938,,6.903516283,151.2255176,106.8479718,,,,,,,,,,132.1622516,631.9440966,201.512083,98.66913974,,275.8706112,356.0734854,,,,,,,-59.72955608,46.97687151,,NOK,2024-06-30,Q2,-66.3754185,,-1.286283751,,,-47.36217042,,,,,,-115.308852,,,,,,,,,,464.8616617,ZD8g9eA,2024Q2,2024,14,32,GEN 2,P183401,0.092971365,2.90%,1.017,365
584515,,,564.144738,,88.96818717,25.26272748,2874.354646,,,,,,,,,,1837.081666,8323.32481,3531.95544,2098.940067,,4164.948312,4158.376498,,,,,,,325.9736708,-1338.32172,,CAD,2024-06-30,Q2,0.0,,154.5771861,,,686.4218923,,78.98871195,17.63001027,,,448.1810384,,,,,,,,,,7764.560317,7J1QjQJ,2024Q2,2024,63,76,A3,P889628,0.73,2.90%,1.017,365
584624P,,,6003.351,,2397.069,10340.856,33705.414,,,,,,,,,,8919.09,92391.399,31535.136,20651.202,,37169.316,55222.083,,,,,,,-1396.341,-4035.456,,USD,2024-06-30,Q2,-1428.885,,294.93,,,-65.088,,783.09,,,,-548.163,,,,,,,,,,64781.883,pa6X7ED,2024Q2,2024,23,49,A2,P601369,1.0,2.90%,1.017,365
585149,,,215.5856404,,981.6124429,241.1033,2636.388857,,,,,,,,,,1180.744359,6350.28084,3116.051539,2551.013909,,4185.19047,2165.09037,,,,,,,-356.9987292,-178.8590446,,JPY,2024-06-30,Q1,,,42.35722237,,,294.8525683,,,,,,188.0210746,,,,,,,,,,6076.930594,AZj6MKA,2025Q1,2025,35,38,A2,P499169,0.006539636,,1.0,365
585517,,,1000.067296,,0.0,380.358309,609.8537552,,,,,,,,,,0.0,2938.415406,1777.244178,553.0831751,,645.4359147,2292.979491,,,,,,,-114.3259166,-62.43390489,,JPY,2024-06-30,Q1,-4.309620124,,52.60483198,,,130.1583753,,1.850716988,14.00790031,,,104.706112,,,,,,,,,,3015.020702,dJO2MjD,2025Q1,2025,55,82,A3,P122651,0.006539636,,1.0,365
585824,,,1159.022613,,888.6223408,34.12952537,5517.536898,,,,,,,,,,2870.726719,11578.1911,4621.207073,4593.922163,,8306.051192,3272.139905,,,,,,,-88.76207971,-1209.923042,,EUR,2024-06-30,Q2,-0.083645402,,91.80082913,,,661.6703521,,235.5388496,0.46995509,,,318.8243566,,,,,,,,,,13361.31297,DgEPm3a,2024S1,2024,60,65,F2,P505529,1.0822,2.90%,1.017,365
586125,,,824.7069563,,1814.062328,333.0636615,2217.603647,,,,,,,,,,1939.97648,8430.486734,4561.592299,3150.548119,,5463.950893,2966.535841,,,,,,,290.1244115,-111.533492,,JPY,2024-06-30,Q1,-15.2962086,,90.96633676,,,98.2580309,,47.11807738,13.47165016,,,102.2668278,,,,,,,,,,6822.625669,XAZx1WJ,2025Q1,2025,25,30,F2,P209373,0.006539636,,1.0,365
586934,,,37159.89873,,9498.961072,16952.22088,144965.836,,,,,,,,,,2788.206574,362141.0842,162417.1268,62888.11838,,76215.06588,285926.0183,,,,,,,-3481.535288,-64171.4761,,KRW,2024-06-30,Q2,,,-1502.982829,,,16631.11735,,588.3650043,3351.538577,,,21459.72083,,,,,,,,,,209616.1591,kDed38A,2024Q2,2024,47,72,F0,P444114,0.000733056,2.90%,1.017,365
587133,,,1601.788634,,1127.386176,516.2911428,4715.5478,,,,,,,,,,5639.786622,14209.96022,5561.357888,3451.939406,,9873.003082,4336.957141,,,,,,,,,,JPY,2024-06-30,Q2,-211.5801903,,-14.32574205,,,39.55705604,,89.38134184,13.33799155,,,262.5400532,,,,,,,,,,9012.652232,VJlgP3D,2024Q2,2024,18,42,HDM F3,P537216,0.006607071,2.90%,1.017,365
