Supplier.Number,accountsPayable,accountsReceivable,bankCashBalances,bankOverdraft,debitOwnedWithinOneYear,financialAssets,fixedAssets,intangibleAssets,otherCurrentAssets,otherCurrentLiabilities,otherEquity,otherTermAssets,otherTermLiabilities,prepayments,retainedEarnings,subscribedCapital,termLoans,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalInventories,totalLiabilities,totalShareholderEquity,totalTermAssets,totalTermLiabilities,accountPayableAccrualFromCashFlow,capitalExpenditure,changeInInventoriesFromCashFlow,netChangeInCashAndCashEquivalents,netFundingCashFlow,netInvestingCashFlow,unbilledAccountsReceivableRevenueFromCashFlow,currency,financialDate,period,abnormalItems,amortization,companyTaxExpense,costOfGoodsSold,depreciation,earningsBeforeInterestAndTax,grossProfit,interestExpense,interestReceived,investmentIncome,netInvestmentIncome,netProfitAfterTax,netProfitAfterTaxAndMinorityInterests,netProfitBeforeTax,netSurplus,otherIncome,otherInvestmentExpense,otherOperatingExpense,totalOperatingExpense,totalOperatingRevenue,totalStaffCosts,salesRevenue,RRID,id,eqyYear,CHS,FHR,Group,Parent.ID,X.Other.Currency.to.USD,Inflation.Rate....,inf_factor,diff_days
021320P,,,234.593424,,13.026753,119.052054,2582.001297,,,,,,,,,,959.633064,3519.616311,624.568176,275.558184,,1927.348227,1592.268084,,,,,,,0.364086,-369.910359,,USD,2024-06-30,Q2,,,75.595644,,,403.832394,,39.275523,,,,316.362258,,,,,,,,,,1384.923141,5aPqjzA,2024Q2,2024,65,81,"A2, F2, F3, HDM A2",P375711,1.0,2.90%,1.017,365
032380P,,,636.9801653,,488.4715714,131.6167141,611.6063776,,,,,,,,,,534.2882612,2292.135878,1406.119835,842.1677844,,1491.834844,800.3010348,,,,,,,-208.0258212,-11.90213752,,JPY,2024-06-30,Q1,-30.13464269,,16.95073651,,,126.2345937,,15.6035715,10.90811285,,,116.5755513,,,,,,,,,,2285.563544,2AzmW7a,2025Q1,2025,62,71,"A1, F0, F2, HDM F1",P629451,0.006539636,,1.0,365
061043P,,,98.32342726,,364.4342954,63.44754847,634.9136403,,,,,,,,,,133.146989,1281.101613,546.2165573,620.2648557,,793.2774657,487.8241474,,,,,,,,,,JPY,2024-06-30,Q1,-0.451234884,,9.332060572,,,24.24243065,,19.40963965,1.065960668,,,9.063935496,,,,,,,,,,1976.905804,DQMRgKD,2025Q1,2025,37,36,"F3, HDM A2",P806649,0.006539636,,1.0,365
061090P,,,63.95164977,,16.0408181,23.10083909,110.9684151,,,,,,,,,,4.002989671,275.1733387,133.462788,59.58198271,,74.0303929,201.1429458,,,,,,,,,,JPY,2024-06-30,Q1,-1.12269855,,6.40705142,,,26.27069876,,0.22727197,1.563254208,,,22.88447524,,,,,,,,,,284.6826038,JqkzxVA,2025Q1,2025,69,89,"A1, HDM A1",P299205,0.006539636,,1.0,365
070740P,,,137.1819444,,128.5496249,83.17763028,309.4817341,,,,,,,,,,35.7325711,920.9180812,502.5056302,336.0784337,,406.3402829,514.5777983,,,,,,,,,,JPY,2024-06-30,Q1,-9.979484536,,16.46026381,,,35.41212894,,7.45518504,1.04634176,,,27.793453,,,,,,,,,,976.8385086,aPbWZxD,2025Q1,2025,30,54,"A2, A3, F2, HDM A3",P374158,0.006539636,,1.0,365
082610P,1125.013581,1032.386177,570.7205734,0.0,350.1255718,178.6890141,1747.220709,166.7737973,191.4740024,259.6300888,-1701.20129,298.344734,211.1517672,,1881.21785,912.9135667,2467.358885,5644.346752,3253.318498,1734.769242,1458.737746,4525.454271,1118.892482,2391.028254,2790.685029,66.90047628,-48.65489184,-45.35237566,26.91714178,54.28551844,-48.00746788,32.2992622,JPY,2024-06-30,Q1,-614.9481316,,6.709666536,5470.634401,287.5543346,-387.9181282,865.9001235,151.8568876,8.024133372,,-196.2675556,-590.8953504,-591.7912805,-584.1856839,-591.7912805,68.48306819,52.43480145,419.7988537,707.3531883,6405.017593,,6336.534525,aw32lBa,2025Q1,2025,15,29,F3,P771900,0.006539636,,1.0,365
092210P,,,101.3774373,,25.63537312,20.08976179,137.7247342,,,,,,,,,,4.976662996,517.1871131,340.564624,145.1995381,,180.2062096,336.9809034,,,,,,,-40.86618536,15.23735188,,JPY,2024-06-30,Q1,-0.863231952,,3.622958344,,,-2.504680588,,2.347729324,0.994024672,,,19.97204834,,,,,,,,,,646.9138724,J3VlpyD,2025Q1,2025,32,57,A3,P986434,0.006539636,,1.0,365
100380,,,3009.303,,3752.73,15719.769,15692.31,,,,,,,,,,40873.23,82906.857,15066.855,15036.345,,64393.389,18513.468,,,,,,,-3802.563,1820.43,,USD,2024-06-30,Q2,3867.651,,-301.032,,,7295.958,,3430.341,,,,3865.617,,,,,,,,,,52645.005,aK6x8EJ,2024Q2,2024,74,62,F0,P644770,1.0,2.90%,1.017,365
100520P,,,570.3805123,,39.8917796,127.6536947,382.8237518,,,,,,,,,,0.0,1676.422609,1124.621203,324.2482322,,405.5882247,1270.834385,,,,,,,-36.07917181,-59.52376687,,JPY,2024-06-30,Q1,,,47.43197991,,,111.4026993,,,,,,91.82302908,,,,,,,,,,1621.640079,5aP29ZD,2025Q1,2025,61,88,"PU, HDM A1",P714640,0.006539636,,1.0,365
11330,,,731.5669983,,1453.881395,742.2777079,10279.17012,,,,,,,,,,2933.874344,19872.93546,6934.667062,4730.901609,,8430.766392,11442.16907,,,,,,,-1085.907374,-1141.886622,,JPY,2024-06-30,Q2,-1097.048125,,267.3847343,,,-182.4919458,,,,,,-506.4808316,,,,,,,,,,13768.91282,YaKPpmA,2024Q2,2024,19,35,F2,P273712,0.006607071,2.90%,1.017,365
11620,,,799.4312632,,445.2053396,456.6170044,923.8086003,,,,,,,,,,402.906974,4997.504816,3253.665099,1712.142101,,2340.908484,2656.596332,,,,,,,,,,JPY,2024-06-30,Q1,-260.5325586,,97.91143019,,,-107.0211431,,7.402867952,13.15774763,,,-174.3728543,,,,,,,,,,6403.44808,GJWoP7J,2025Q1,2025,14,40,"F0, HDM F0",P851698,0.006539636,,1.0,365
11630,,,227.8016804,,113.8354439,0.745518504,335.2609792,,,,,,,,,,210.6678341,966.7543899,550.2318938,342.2256915,,597.1864802,369.5679096,,,,,,,-23.71272014,45.6858971,,JPY,2024-06-30,Q1,-0.843613044,,15.83245876,,,20.88105775,,17.57200193,2.086143884,,,57.93463532,,,,,,,,,,1079.510794,JOG4y1J,2025Q1,2025,50,54,"F3, HDM F3",P926754,0.006539636,,1.0,365
120690P,,,1519.006556,0.0,292.9756928,,,,10221.08187,10330.13448,470.853792,13059.75879,490.4411381,,3758.713061,0.0,9456.729054,24799.84721,11740.08843,10623.11017,,20570.28036,4229.566853,13059.75879,9947.170193,,,,,,,,JPY,2024-04-30,Q1,,,78.475632,28956.45203,448.6898944,206.716829,2295.961205,77.70636991,,589.2510958,511.5447258,639.7859229,639.7859229,718.2615549,639.7859229,0.0,0.0,1640.554482,2089.244376,31252.41324,,31252.41324,J1npZoa,2025Q1,2025,35,41,"A2, A3",P745742,0.006539636,,1.0,365
12373,,,146.9729108,,5.358649674,242.2081258,237.9037635,,,,,,,,,,152.0171413,978.7669753,364.6451986,130.6187591,,389.5516181,589.2153572,,,,,,,,,,JPY,2024-06-30,Q1,0.3021835,,6.150148359,,,8.481417419,,0.560852263,0.470814554,,,14.98339166,,,,,,,,,,670.2446974,a714VzD,2025Q1,2025,39,71,"F2, HDM F2",P242219,0.006539636,,1.0,365
131820,,,315.3150894,,675.8844599,458.9581941,1292.048964,,,,,,,,,,662.3147152,4394.184157,2443.083757,1357.961955,,2348.285193,2045.898964,,,,,,,,,,JPY,2024-06-30,Q1,-40.02257232,,100.0237326,,,356.5278754,,16.9114987,2.838202024,,,309.7498591,,,,,,,,,,4375.428481,pa6g1nA,2025Q1,2025,69,71,"A3, F2, HDM F2",P927404,0.006539636,,1.0,365
140290,,,7013.825006,,1662.068108,14791.22445,13970.27125,,,,,,,,,,3381.220699,58190.22392,26806.80504,14024.596,,20984.34476,37205.87916,,,,,,,-4052.200432,-1080.282471,,JPY,2024-06-30,Q1,50.42059356,,522.0853004,,,2656.367445,,61.5641333,159.2662951,,,2385.992734,,,,,,,,,,46991.95396,5ABvgbA,2025Q1,2025,54,80,"A1, A3, F0, F2, F3, PU, HDM F1",P825978,0.006539636,,1.0,365
140320P,,,85.63653342,,121.3756442,24.06586048,198.687221,,,,,,,,,,36.2949798,535.4850146,295.1664709,244.6216242,,320.7429873,214.7420273,,,,,,,,,,JPY,2024-06-30,Q1,1.235991204,,4.518888476,,,19.68430436,,5.597928416,1.007103944,,,17.18616341,,,,,,,,,,818.101924,aEozePD,2025Q1,2025,51,58,"A2, A3, F2",P366315,0.006539636,,1.0,365
140858,,,156.3602334,,4.23321646,28.47006054,171.7207617,,,,,,,,,,3.426889516,561.4454517,351.7063746,99.27228569,,133.715885,427.7295667,,,,,,,,,,JPY,2024-06-30,Q2,1.101980158,,22.78545558,,,69.02158648,,0.154545998,1.592495716,,,55.62312041,,,,,,,,,,490.8851246,ax35GbJ,2024Q2,2024,60,83,"A3, F3, HDM F3",P398360,0.006607071,2.90%,1.017,365
142060,,,414.936,,462.735,573.588,2404.188,,,,,,,,,,1566.18,8146.17,3765.951,3849.345,,5795.883,2350.287,,,,,,,-601.047,-597.996,,USD,2024-06-30,Q2,-108.819,,152.55,,,883.773,,104.751,14.238,,,637.659,,,,,,,,,,10746.639,Ra7kXma,2024Q2,2024,75,68,"A3, HDM F0",P778641,1.0,2.90%,1.017,365
161395,,,2065.099335,,2.210396968,122.5723975,2745.483065,,,,,,,,,,0.0,8529.90882,4831.123397,1453.852638,,1842.751711,6687.157109,,,,,,,-513.9303743,-556.9480999,,JPY,2024-06-30,Q1,0.0,,285.2196845,,,1094.839701,,,,,,809.0118299,,,,,,,,,,6251.846239,YJqMn8J,2025Q1,2025,63,86,"A3, HDM A3",P942607,0.006539636,,1.0,365
161400,,,237.9315766,,0.0,140.0659238,201.237679,,,,,,,,,,0.0,799.9936719,439.7512832,67.78986678,,87.18642715,712.8072447,,,,,,,,,,JPY,2024-06-30,Q1,-1.726463904,,10.33916452,,,27.72805664,,0.104634176,4.505809204,,,24.90947352,,,,,,,,,,426.2861727,J1Vm6Va,2025Q1,2025,55,84,"A3, HDM A3",P365379,0.006539636,,1.0,365
16220,,,4.64714782,0.0,43.81451528,,,,39.2385614,22.47881155,3.08065029,57.50225908,0.40051896,,,0.0,31.6134722,101.387968,43.885709,66.293327,,98.307318,3.08065,57.502259,32.013991,,,,,,,,USD,2024-06-30,Q1,,,0.00754125,,8.60369659,-8.127417,,5.8163977,,0.67150829,-5.144889,-13.279847,-13.279847,-13.272306,-13.279847,0.0,0.0,115.1187286,123.722425,115.595008,,115.5950083,JWGQOwJ,2025Q1,2025,16,16,F3,P978153,1.0,,1.0,365
163030,,,15.04345383,,1.85008572,,167.6369204,,,,,,,,,,83.10314817,449.9115962,191.2069531,68.40714222,,167.4245912,282.487005,,,,,,,-27.7364376,-25.09123077,,CAD,2024-06-30,Q3,,,7.61118732,,,37.13757543,,6.51910221,,,,23.08449654,,,,,,,,,,476.9954554,aEzGzKA,2024Q3,2024,52,64,"A2, A3, HDM A3",P265454,0.73,2.90%,1.017,365
180330,,,112.7433246,,127.0324293,39.89831924,255.5951334,,,,,,,,,,231.365782,934.3439539,573.7484248,285.8671085,,620.5329808,313.8109731,,,,,,,,,,JPY,2024-06-30,Q1,-13.41933307,,8.331496264,,,21.54156098,,10.87541467,0.712820324,,,-4.492729932,,,,,,,,,,1106.663362,aROERyA,2025Q1,2025,40,48,"F3, CommonAuto",P810282,0.006539636,,1.0,365
191870,,,291.3604027,,74.89191147,75.21889327,235.9958443,,,,,,,,,,0.0,1216.522708,772.7953258,509.1368211,,570.1843232,646.3383844,,,,,,,,,,JPY,2024-06-30,Q1,-8.004514464,,18.24558444,,,43.09620124,,4.826251368,6.062242572,,,48.17749841,,,,,,,,,,1949.746696,a71kKWD,2025Q1,2025,51,75,A3,P550389,0.006539636,,1.0,365
192569,,,111.5553328,,405.5891726,170.0745108,313.5939876,,,,,,,,,,24.18980835,1162.279975,656.6659445,921.7728052,,991.2311521,171.0488226,,,,,,,,,,JPY,2024-06-30,Q2,21.43485795,,-0.77944938,,,-45.75233473,,8.157340925,1.753761105,,,-18.22970834,,,,,,,,,,1249.585025,Jqx6M1D,2024Q2,2024,18,27,"A3, HDM F1",P0,0.006607071,2.90%,1.017,365
192962,146.2050855,164.0765366,35.13954062,0.0,63.3591,,495.7482835,13.22638603,121.3143847,172.1365484,-26.23106606,32.9649902,5.698447281,,208.6712015,0.0,363.1393754,932.9786941,391.0390344,381.7007339,70.50857237,750.5385566,182.4401354,541.9396597,368.8378227,-30.44299902,,5.086832634,-24.17339844,46.51266382,-39.91644352,-13.61011844,USD,2024-06-30,Q2,,3.60719069,13.40490258,926.3454102,41.2139133,46.73703843,141.1688964,17.27141099,,,-17.92178554,15.41035082,15.41035082,28.81525289,15.41035082,0.0,0.650374551,49.61075346,94.43185797,1067.514307,,1067.514307,A44rkEA,2024Q2,2024,43,32,"A2, F2, HDM A2",P599352,1.0,2.90%,1.017,365
193020,,,153.3704489,,297.5509095,6.977787516,313.0539245,,,,,,,,,,629.8465783,2169.634069,686.7023394,584.5316815,,1394.116821,775.5172478,,,,,,,561.5743204,-805.3819582,,EUR,2024-06-30,Q3,-2.218144,,34.77557605,,,135.4208059,,24.11408903,1.76095584,,,85.8454966,,,,,,,,,,1405.541022,JGQ1E0A,2024Q3,2024,53,49,"A2, F2, HDM F3",P605209,1.0822,2.90%,1.017,365
194090,,,2384.994566,,4106.328899,818.8444656,12744.91789,,,,,,,,,,4689.645521,40968.63762,20089.20434,16773.10438,,25405.08978,15563.54783,,,,,,,-1482.284578,-2267.340704,,EUR,2024-06-30,Q2,,,432.3146587,,,1769.760619,,477.1089729,118.3142205,,,927.3633692,,,,,,,,,,44551.52239,dax00la,2024Q2,2024,35,45,HDM F0,P966422,1.0822,2.90%,1.017,365
194190,1.495454901,2.486236356,2.1929158,0.0,11.82686755,,4.818073207,,0.2034,1.418412595,-1.77410508,0.0,0.0,0.141265439,,0.0,0.945370361,13.91200065,9.093927555,14.74073463,4.070109522,15.68610528,-1.774104633,4.818073095,0.945370656,,,,,,,,USD,2024-06-30,Q2,,,0.0,,,-1.582528275,,0.771769051,,0.006614436,-0.765154188,-2.34768348,-2.34768348,-2.34768348,-2.34768348,0.0,0.0,30.1745368,30.17453645,28.59200817,,28.59200845,JqkN5VA,2024Q2,2024,18,16,A1,P181232,1.0,2.90%,1.017,365
194190P,,,47.90937334,,84.8517771,66.19419559,108.6298936,,,,,,,,,,12.19642114,417.6865513,214.8728201,188.5965626,,234.4721091,183.2144422,,,,,,,,,,JPY,2024-06-30,Q1,-63.27751794,,13.41279344,,,-83.20378883,,1.759162084,,,,-88.93250996,,,,,,,,,,353.7223716,YA53plJ,2025Q1,2025,13,30,A1,P181232,0.006539636,,1.0,365
200820,1219.54572,874.30473,278.786142,,310.85622,,1276.5384,981.2016,67.49829,244.74105,2640.50829,364.47246,348.99372,42.27669,-1215.97605,0.0,1109.60802,4723.055802,2100.843342,1775.14299,837.97749,3278.34018,1444.70952,2622.21246,1503.19719,-63.01332,-32.78808,-55.39599,58.85379,-36.1035,-53.35182,87.43149,USD,2024-06-30,Q2,-32.21856,58.41648,48.04308,4709.41173,153.34326,175.5342,653.35131,65.93211,,23.19777,-44.97174,82.51938,80.36334,130.56246,80.36334,17.87886,2.2374,51.69411,463.47741,5380.6419,200.02356,5362.76304,a9VGZkA,2024Q2,2024,23,35,"A3, HDM F0",P718841,1.0,2.90%,1.017,365
200820P,,,742.5227076,,1046.679881,406.7618617,2037.722357,,,,,,,,,,1889.809444,8043.564257,3707.037333,3040.269075,,5276.427935,2767.136321,,,,,,,12.41458102,-420.1876909,,CNY,2024-06-30,Q2,0.0,,86.22643498,,,456.3841256,,154.4496552,9.544671485,,,223.9036242,,,,,,,,,,7904.051028,awo1Mya,2024Q2,2024,57,56,"A3, HDM F0",P718841,0.1393,2.90%,1.017,365
201330,,,10254.411,,1324.134,,8219.394,,,,,,,,,,11981.277,44114.409,19846.755,14588.865,,40058.613,4055.796,,,,,,,1662.795,-1468.548,,USD,2024-06-30,Q2,-4552.092,,-212.553,,,1385.154,,1405.494,425.106,,,1036.323,,,,,,,,,,31102.911,dJO0QOa,2024Q2,2024,54,52,"A3, HDM A3",P912386,1.0,2.90%,1.017,365
203210,102.9490794,62.76628053,20.36485548,0.0,59.13584478,,,,70.43001624,134.1747118,-77.66729334,417.8704315,128.1249246,,,0.0,316.1562545,662.8735217,245.0030902,296.259636,91.44193797,740.540815,-77.66729334,417.8704315,444.2811791,,,,4.38106311,14.81608314,-8.45724996,,USD,2024-06-30,Q2,,,2.23218279,767.913431,71.23272417,3.92172489,128.8361228,50.57901018,,,-65.27430423,-63.58476213,-63.58476213,-61.35257934,-58.7075454,0.0,14.69529405,53.68167378,124.914398,896.7495539,,896.7495539,DmY1WVD,2024Q2,2024,21,18,"A2, HDM A3",P403234,1.0,2.90%,1.017,365
210480,,,9.73269,0.0,13.221,,,,67.47795,40.92408,124.41978,25.58772,1.33227,,-77.09877,0.0,0.0,102.79836,77.21064,54.14508,,55.47735,47.32101,25.58772,1.33227,,,,,,,,USD,2024-06-30,Q2,11.8989,,0.04068,173.76462,0.14238,-19.54674,6.87492,2.08485,,0.16272,-1.92213,-21.50955,-21.50955,-21.46887,-21.50955,0.0,0.0,38.17818,38.32056,180.63954,,180.63954,aEoEe4D,2024Q2,2024,20,25,F3,P698924,1.0,2.90%,1.017,365
210480P,,,163.1900767,,171.7046828,268.7659603,552.4095926,,,,,,,,,,311.5678779,1932.011203,1017.907423,619.0288645,,1008.771551,923.2396519,,,,,,,,,,JPY,2024-06-30,Q1,-48.26905332,,-9.475932564,,,10.63998777,,4.996281904,1.020183216,,,25.62883348,,,,,,,,,,2132.614537,a6jljMa,2025Q1,2025,37,51,F3,P698924,0.006539636,,1.0,365
210550,,,142.256465,,59.74540407,56.16299106,889.7096053,,,,,,,,,,612.2459396,1983.847876,820.0258942,603.3476879,,1302.033787,681.814089,,,,,,,-264.2896308,-62.98113195,,CHF,2024-06-30,Q2,-10.16943048,,9.59162193,,,101.4631814,,,,,,45.53131374,,,,,,,,,,2787.348445,Ga0NjwD,2024S1,2024,56,71,"A1, A2, A3, HDM A3",P582708,1.1363,2.90%,1.017,365
210610,,,57.38619529,,30.19253155,59.25332023,158.2402459,,,,,,,,,,35.48425459,411.5302884,183.1869299,93.64926821,,170.6572162,240.8730722,,,,,,,,,,JPY,2024-06-30,Q1,-0.929471925,,6.685411026,,,7.957357149,,1.239581464,0.779792736,,,4.92789693,,,,,,,,,,325.9802809,DX5dMMJ,2025Q1,2025,40,68,"A1, HDM A1",P332568,0.006539636,,1.0,365
210610P,,,213.6956856,,0.0,372.0202731,180.7816976,,,,,,,,,,1.870335896,1129.16625,548.2307652,124.6062243,,174.0654914,955.1007585,,,,,,,,,,JPY,2024-06-30,Q1,-2.831662388,,14.13869303,,,25.30839132,,0.385838524,1.419101012,,,68.16916566,,,,,,,,,,578.8754994,aNkLnWA,2025Q1,2025,39,74,"A1, HDM A1",P332568,0.006539636,,1.0,365
210721,,,255.4970389,,1017.985898,376.3560518,2995.552206,,,,,,,,,,2499.337705,6922.335499,2155.993736,2365.294786,,5732.285238,1190.050261,,,,,,,-202.3363378,-273.1998335,,JPY,2024-06-30,Q1,5.113995352,,-10.96042994,,,177.0606447,,232.3925049,61.32870641,,,39.51902035,,,,,,,,,,5499.873114,XAZx7rJ,2025Q1,2025,25,23,"F2, HDM F2",P750271,0.006539636,,1.0,365
21340,,,102.8488554,,19.9458898,136.8680418,215.2390397,,,,,,,,,,13.8967265,820.7046991,412.0036076,195.7640037,,243.7387734,576.9659257,,,,,,,-55.80271399,-31.45564916,,JPY,2024-06-30,Q1,,,16.5845169,,,52.63099053,,,,,,41.05583481,,,,,,,,,,726.3508309,AoYoe8J,2025Q1,2025,41,70,"A1, HDM F1",P633880,0.006539636,,1.0,365
32590,,,163.987182,,0.0,,117.91098,,,,,,,,,,66.105,737.957574,320.214654,94.018599,,206.319807,531.637767,,,,,,,-68.638347,-15.176691,,USD,2024-06-30,Q2,-7.27155,,12.889458,,,67.878648,,3.511701,5.407389,,,56.053989,,,,,,,,,,523.915686,YA5vokD,2024Q2,2024,56,78,"F3, HDM F1",P509543,1.0,2.90%,1.017,365
33198,,,142.616961,,493.732143,,2337.271434,,,,,,,,,,2585.141793,7276.293288,2150.408871,1653.777261,,4792.914549,2483.378739,,,,,,,-350.869068,-646.319772,,USD,2024-06-30,Q2,-109.979397,,108.099981,,,560.476836,,131.22351,14.22783,,,375.386904,,,,,,,,,,6719.564097,WJG75OJ,2024Q2,2024,56,51,"A2, A3, HDM A3",P668552,1.0,2.90%,1.017,365
33298,,,427.4281148,,210.9233017,78.51573464,857.5665564,,,,,,,,,,993.6890049,2897.647114,1420.814541,892.0740099,,2036.677539,860.969575,,,,,,,-296.8352636,-109.516531,,BRL,2024-06-30,Q2,-2.864932019,,35.35399246,,,160.9109976,,112.329549,0.465520665,,,33.47959444,,,,,,,,,,2765.499306,LDQ500D,2024Q2,2024,49,56,"F3, HDM F3",P666906,0.1863,2.90%,1.017,365
40250,,,923.5109502,,4959.382141,365.3731296,13272.62897,,,,,,,,,,1796.59028,19207.49931,4669.452125,8989.992558,,11457.76909,7749.730219,,,,,,,-1064.05983,9.765403135,,CNY,2024-06-30,Q2,0.0,,20.02356901,,,293.1840001,,182.7082209,13.5785403,,,100.195924,,,,,,,,,,16019.50254,PAkBN4a,2024Q2,2024,30,34,F3,P464102,0.1393,2.90%,1.017,365
42110,,,1432.953,,1500.075,1771.614,4318.182,,,,,,,,,,5597.568,25171.767,8979.093,6008.436,,13201.677,11970.09,,,,,,,-905.13,-1262.097,,USD,2024-06-30,Q2,361.035,,-1896.705,,,2340.117,,279.675,102.717,,,3786.291,,,,,,,,,,20324.745,PJpv7XA,2024Q2,2024,69,80,F0,P117786,1.0,2.90%,1.017,365
500044,,,442.9622445,,55.586906,,477.7988854,,,,,,,,,,343.33089,1565.274956,966.734771,350.2367456,,706.6665265,858.6084293,,,,,,,,,,JPY,2024-06-30,Q1,-6.761983624,,27.34875775,,,100.2853181,,1.392942468,2.22347624,,,84.23051168,,,,,,,,,,1501.546203,Ra7pKgA,2025Q1,2025,52,67,"F0, PU, HDM F2",P788967,0.006539636,,1.0,365
502746,,,368.25989,,32.24750382,24.54332202,754.1293385,,,,,,,,,,1274.821968,3010.794247,1517.063456,789.7886942,,2262.498075,748.2961723,,,,,,,-217.6981657,-149.5711867,,EUR,2024-06-30,Q2,,,36.20965446,,,216.3774488,,82.76492448,8.91483894,,,99.6040647,,,,,,,,,,3816.321485,ALnekGJ,2024S1,2024,62,72,F3,P791230,1.0822,2.90%,1.017,365
502963,,,1015.983,,928.521,1509.228,11503.287,,,,,,,,,,4945.671,32529.762,14235.966,12660.633,,20315.592,12214.17,,,,,,,-476.973,-3241.179,,USD,2024-06-30,Q2,-600.03,,244.08,,,1541.772,,210.519,,,,1087.173,,,,,,,,,,43802.19,eJ39NyA,2024Q2,2024,57,68,"F2, HDM A2",P666338,1.0,2.90%,1.017,365
503115,,,9659.683256,,13329.51771,132976.8734,14213.24488,,,,,,,,,,13961.10268,226780.2481,42872.13369,67795.80477,,173489.0225,53291.22564,,,,,,,-2766.553772,-6404.664453,,JPY,2024-06-30,Q1,,,2034.578854,,,8075.763798,,,,,,6529.04179,,,,,,,,,,85464.96607,XAZN11A,2025Q1,2025,50,48,F0,P949630,0.006539636,,1.0,365
503710P,,,137.9732403,,51.11379498,,129.805235,,,,,,,,,,29.428362,525.7671155,343.5793962,136.4298862,,178.0154316,347.7516839,,,,,,,,,,JPY,2024-06-30,Q1,-2.687790396,,11.48360082,,,16.47988272,,1.458338828,0.902469768,,,15.82591912,,,,,,,,,,520.4961689,5aPzoOD,2025Q1,2025,52,73,"F0, HDM F2",P703756,0.006539636,,1.0,365
503898,,,14.06526245,0.0,7.6275,,,,229.8350861,337.8068281,43.85571388,352.0320584,36.39964247,,,0.0,170.2427225,595.9324073,243.900349,345.4343278,,552.0766926,43.85571369,352.0320584,206.6423648,,,,,,,,USD,2024-06-30,Q2,,,0.0,,,39.35046675,,-16.32261435,,,-21.21989721,18.13056953,18.13056953,18.13056953,18.13056953,0.0,37.54251176,1105.181446,1105.181446,1144.531913,,1144.531913,adNn1ED,2024Q2,2024,68,63,"A2, HDM A2",P0,1.0,2.90%,1.017,365
504860P,,,122.258495,,313.6997993,115.8758103,471.4488989,,,,,,,,,,167.4996969,1224.442207,599.3380205,589.0315542,,826.544594,397.8976128,,,,,,,4.649681196,-86.06160976,,JPY,2024-06-30,Q1,,,21.11648464,,,-88.39625981,,,,,,-112.305169,,,,,,,,,,1562.443293,JOGqQqJ,2025Q1,2025,18,32,A2,P785357,0.006539636,,1.0,365
505067,,,166.8571694,,39.56537593,1.68061223,339.5475051,,,,,,,,,,519.7857377,1660.560446,669.0157391,298.9651771,,880.8014956,779.7589501,,,,,,,-65.06621769,-67.0946187,,EUR,2024-06-30,Q2,,,29.69301725,,,85.84439601,,28.13897373,0.494168233,,,27.05488529,,,,,,,,,,1319.189251,yDXx5QD,2024Q2,2024,56,76,A1,P898479,1.0822,2.90%,1.017,365
50510,,,323.9145,,1009.3725,,2114.0379,,,,,,,,,,5697.6408,22835.9214,6900.345,5433.6276,,13965.7491,8870.1723,,,,,,,-1814.2263,395.5113,,USD,2024-06-29,Q2,-563.6214,,164.2455,,,242.7579,,545.8239,191.6028,,,-275.7087,,,,,,,,,,15849.2331,eaRq4zJ,2024Q2,2024,15,35,"A1, A3, F0, GEN 2, HDM A3",P317675,1.0,2.90%,1.017,365
505537,,,491.0089502,,48.68105038,286.2987244,786.5874181,,,,,,,,,,126.9081762,2563.995087,1359.943465,478.7340534,,830.3375829,1733.657504,,,,,,,-55.68500054,-4.100351772,,JPY,2024-06-30,Q1,-1.981509708,,51.9901062,,,138.4440941,,1.99458898,7.94565774,,,142.524827,,,,,,,,,,1774.340579,KAMBBbD,2025Q1,2025,47,64,"A1, HDM F1",P830152,0.006539636,,1.0,365
505724,,,1309.896,,452.565,347.814,3943.926,,,,,,,,,,3338.811,14347.836,6106.068,3775.104,,7955.991,6391.845,,,,,,,-480.024,-477.99,,USD,2024-06-30,Q2,-130.176,,226.791,,,1192.941,,70.173,40.68,,,846.144,,,,,,,,,,14585.814,WJG7eBJ,2024Q2,2024,69,82,"A1, HDM F1",P711122,1.0,2.90%,1.017,365
507111,,,5285.018727,,5645.283528,2685.221667,7059.907422,,,,,,,,,,3215.430435,25900.95228,15286.5552,11993.04836,,15412.70083,10488.25146,,,,,,,1772.857011,-3426.526299,,CNY,2024-06-30,Q2,0.0,,116.5145704,,,2038.622192,,201.4476578,156.9040919,,,1881.150423,,,,,,,,,,33650.74301,dJOvglD,2024Q2,2024,58,51,F0,P837301,0.1393,2.90%,1.017,365
507281P,,,200.1455598,,34.56197626,38.13261752,297.0368068,,,,,,,,,,165.5051079,839.1464726,464.5103451,181.9522924,,357.7377081,481.4087645,,,,,,,,,,JPY,2024-06-30,Q1,-0.117713448,,8.606160976,,,14.81881518,,0.765137412,0.4904727,,,11.58169536,,,,,,,,,,732.0403142,D8owyMA,2025Q1,2025,40,72,A1,P759720,0.006539636,,1.0,365
