"","X.x","Supplier.Number","accountsPayable","accountsReceivable","bankCashBalances","bankOverdraft","debitOwnedWithinOneYear","financialAssets","fixedAssets","intangibleAssets","otherCurrentAssets","otherCurrentLiabilities","otherEquity","otherTermAssets","otherTermLiabilities","prepayments","retainedEarnings","subscribedCapital","termLoans","totalAssets","totalCurrentAssets","totalCurrentLiabilities","totalInventories","totalLiabilities","totalShareholderEquity","totalTermAssets","totalTermLiabilities","accountPayableAccrualFromCashFlow","capitalExpenditure","changeInInventoriesFromCashFlow","netChangeInCashAndCashEquivalents","netFundingCashFlow","netInvestingCashFlow","unbilledAccountsReceivableRevenueFromCashFlow","currency","financialDate","period","abnormalItems","amortization","companyTaxExpense","costOfGoodsSold","depreciation","earningsBeforeInterestAndTax","grossProfit","interestExpense","interestReceived","investmentIncome","netInvestmentIncome","netProfitAfterTax","netProfitAfterTaxAndMinorityInterests","netProfitBeforeTax","netSurplus","otherIncome","otherInvestmentExpense","otherOperatingExpense","totalOperatingExpense","totalOperatingRevenue","totalStaffCosts","salesRevenue","RRID","id","eqyYear","CHS","FHR","Data.Source","Group","Group.Classification","Parent.ID","X.y","count","USD.to.Other.Currency","X.Other.Currency.to.USD","Inflation.Rate...."
"21",20,"505724",NA,NA,1288,NA,445,342,3878,NA,NA,NA,NA,NA,NA,NA,NA,NA,3283,14108,6004,3712,NA,7823,6285,NA,NA,NA,NA,NA,NA,-472,-470,NA,"USD","2024-06-30","Q2",-128,NA,223,NA,NA,1173,NA,69,40,NA,NA,832,NA,NA,NA,NA,NA,NA,NA,NA,NA,14342,"WJG7eBJ","2024Q2",2024,69,82,"Public","A1, HDM F1","Auto","P711122",NA,NA,NA,NA,"2.90%"
"22",21,"505724",NA,NA,1037,NA,445,365,3903,NA,NA,NA,NA,NA,NA,NA,NA,NA,3295,14122,5957,3869,NA,8080,6042,NA,NA,NA,NA,NA,NA,-530,-572,NA,"USD","2024-03-31","Q1",-149,NA,360,NA,NA,1259,NA,73,40,NA,NA,725,NA,NA,NA,NA,NA,NA,NA,NA,NA,15259,"WJG7eBJ","2024Q1",2024,70,81,"Public","A1, HDM F1","Auto","P711122",NA,NA,NA,NA,"2.90%"
"23",22,"505724",NA,NA,1534,NA,73,364,3926,NA,NA,NA,NA,NA,NA,NA,NA,NA,3707,14453,6217,3767,NA,8387,6066,NA,NA,NA,NA,NA,NA,-437,-679,NA,"USD","2023-12-31","YE",-88,NA,289,NA,NA,1188,NA,73,35,NA,NA,702,NA,NA,NA,NA,NA,NA,NA,NA,NA,14198,"WJG7eBJ","2023YE",2023,68,80,"Public","A1, HDM F1","Auto","P711122",NA,NA,NA,NA,"4.12%"
"24",23,"505724",NA,NA,949,NA,63,624,3697,NA,NA,NA,NA,NA,NA,NA,NA,NA,3665,14104,5900,3573,NA,8097,6007,NA,NA,NA,NA,NA,NA,-268,-1356,NA,"USD","2023-09-30","Q3",-174,NA,366,NA,NA,1384,NA,82,41,NA,NA,836,NA,NA,NA,NA,NA,NA,NA,NA,NA,16430,"WJG7eBJ","2023Q3",2023,73,83,"Public","A1, HDM F1","Auto","P711122",NA,NA,NA,NA,"4.12%"
"25",24,"505724",NA,NA,848,NA,65,835,4669,NA,NA,NA,NA,NA,NA,NA,NA,NA,4191,17317,6876,4235,NA,9536,7781,NA,NA,NA,NA,NA,NA,-426,-1552,NA,"USD","2023-06-30","Q2",-167,NA,337,NA,NA,1473,NA,79,35,NA,NA,1023,NA,NA,NA,NA,NA,NA,NA,NA,NA,16868,"WJG7eBJ","2023Q2",2023,70,80,"Public","A1, HDM F1","Auto","P711122",NA,NA,NA,NA,"4.12%"
"26",25,"505724",NA,NA,950,NA,62,895,4660,NA,NA,NA,NA,NA,NA,NA,NA,NA,4175,17117,6607,4148,NA,9438,7679,NA,NA,NA,NA,NA,NA,-462,-1446,NA,"USD","2023-03-31","Q1",-131,NA,288,NA,NA,1362,NA,79,32,NA,NA,1032,NA,NA,NA,NA,NA,NA,NA,NA,NA,16107,"WJG7eBJ","2023Q1",2023,69,79,"Public","A1, HDM F1","Auto","P711122",NA,NA,NA,NA,"4.12%"
"27",26,"505724",NA,NA,1338,NA,62,896,4564,NA,NA,NA,NA,NA,NA,NA,NA,NA,4166,16994,6617,4236,NA,9486,7508,NA,NA,NA,NA,NA,NA,-567,-1418,NA,"USD","2022-12-31","YE",-116,NA,292,NA,NA,1374,NA,78,26,NA,NA,1026,NA,NA,NA,NA,NA,NA,NA,NA,NA,15801,"WJG7eBJ","2022YE",2022,69,80,"Public","A1, HDM F1","Auto","P711122",NA,NA,NA,NA,"8.00%"
"28",27,"505724",NA,NA,1241,NA,56,422,4190,NA,NA,NA,NA,NA,NA,NA,NA,NA,4080,16077,6547,3816,NA,9040,7037,NA,NA,NA,NA,NA,NA,-557,-843,NA,"USD","2022-09-30","Q3",-145,NA,253,NA,NA,1191,NA,79,19,NA,NA,901,NA,NA,NA,NA,NA,NA,NA,NA,NA,15348,"WJG7eBJ","2022Q3",2022,68,80,"Public","A1, HDM F1","Auto","P711122",NA,NA,NA,NA,"8.00%"
"29",28,"505724",NA,NA,1390,NA,60,442,4327,NA,NA,NA,NA,NA,NA,NA,NA,NA,4156,16144,6480,3651,NA,8973,7171,NA,NA,NA,NA,NA,NA,-471,-684,NA,"USD","2022-06-30","Q2",-178,NA,228,NA,NA,1055,NA,82,16,NA,NA,726,NA,NA,NA,NA,NA,NA,NA,NA,NA,14704,"WJG7eBJ","2022Q2",2022,64,77,"Public","A1, HDM F1","Auto","P711122",NA,NA,NA,NA,"8.00%"
"30",29,"505724",NA,NA,1501,NA,64,473,4521,NA,NA,NA,NA,NA,NA,NA,NA,NA,4223,16678,6640,3859,NA,9340,7338,NA,NA,NA,NA,NA,NA,142,-1464,NA,"USD","2022-03-31","Q1",-226,NA,199,NA,NA,1100,NA,103,13,NA,NA,769,NA,NA,NA,NA,NA,NA,NA,NA,NA,14703,"WJG7eBJ","2022Q1",2022,64,77,"Public","A1, HDM F1","Auto","P711122",NA,NA,NA,NA,"8.00%"
