,2020 Q3,2020 YE,2021 Q1,2021 Q2,2021 Q3,2021 YE,2022 Q1,2022 Q2,2022 Q3,2022 YE,2023 Q1,2023 Q2,2023 Q3,2023 YE,2024 Q1,2024 Q2,2024 Q3,2024 YE,2025 Q1,2025 Q2,FHR Delta Qtr,FHR Delta An,Period End*,Period End Date,Current FHR,Simulated FHR,PD (%),Data Source,Group,Group Classification,Parent ID,Supplier Number,Key
79,,52,,,,20,,,,19,,21,45,45,69,,,,,,38,,"2024, Q1",3/31/2024 0:00,69,69,0.0344,FHRx,"A1, HDM F1",Auto,P426141,12140,
81,39,51,61,76,83,86,87,87,85,82,73,65,65,59,57,49,,,,,-8,-16,"2024, Q2",6/30/2024 0:00,49,56,0.3343,Public,A2,Auto,P601369,584624P,22
83,21,,,21,,,,,57,62,,,,59,,,,,,,,-3,"2023, YE",12/31/2023 0:00,59,59,0.1121,FHRx,A2,Auto,P601369,584624,248
86,60,53,53,52,53,54,55,55,55,56,52,52,50,38,38,39,39,51,51,,0,13,"2025, Q1",6/30/2024 0:00,51,54,0.2693,Public,A3,Auto,P425596,516892,35
91,,51,31,,,40,31,27,,27,,,,21,11,11,,34,,,,13,"2024, YE",3/31/2024 0:00,34,34,1.784,FHRx,"F3, HDM A1",Auto,P178387,14330,239
92,54,46,37,35,38,41,45,40,38,40,47,56,52,63,68,67,76,73,76,,3,8,"2025, Q1",6/30/2024 0:00,76,82,0.0132,Public,A3,Auto,P488641,521508,131
94,62,36,,56,,58,,,,40,,,,62,,,,,,,,22,"2023, YE",1/1/2024 0:00,62,62,0.0798,FHRx,"A2, HDM A2, HSC",Auto,P0,516282,190
103,,,,,,,,,,69,,,,77,,,,,,,,8,"2023, YE",12/31/2023 0:00,77,77,0.0114,FHRx,"A3, HDM A3",Auto,P0,584350,267
107,,23,,23,,24,26,,,22,21,22,18,17,18,20,,,,,2,-2,"2024, Q2",6/30/2024 0:00,20,20,11.4135,FHRx,"A2, A3",Auto,P547247,583417,172
109,,30,,,,31,,,,27,,,,29,,52,,81,,,,52,"2024, YE",3/31/2024 0:00,81,81,0.0059,FHRx,A2,Auto,P997671,520039,294
110,,,,,,38,,,,25,,,,36,,,,17,,,,-19,"2024, YE",1/31/2024 0:00,17,17,18.111,FHRx,"F0, PU",Auto,P0,513252,207
111,,27,,38,,38,,,,34,43,,,30,38,,,,,,8,-5,"2024, Q1",3/31/2024 0:00,38,39,1.1216,FHRx,HDM A2,Auto,P770732,521737,
114,,27,,38,,38,,,,34,43,,,30,38,,,,,,8,-5,"2024, Q1",3/31/2024 0:00,38,39,1.1216,FHRx,"A2, A3, F2, HDM A2",Auto,P770732,120510,
112,38,45,52,69,67,62,56,54,58,59,56,60,62,61,65,68,,,,,3,8,"2024, Q2",6/30/2024 0:00,68,69,0.039,Public,"A3, HDM F0",Auto,P778641,142060,9
116,38,45,52,69,67,62,56,54,58,59,56,60,62,61,65,68,,,,,3,8,"2024, Q2",6/30/2024 0:00,68,69,0.039,Public,A3,Auto,P778641,594151,
118,38,45,52,69,67,62,56,54,58,59,56,60,62,61,65,68,,,,,3,8,"2024, Q2",6/30/2024 0:00,68,69,0.039,Public,"A3, HDM F0",Auto,P778641,132637,
115,,53,,78,,56,,40,,52,,65,,78,,71,,,,,,6,"2024, Q2",6/30/2024 0:00,71,74,0.0266,Public,"A1, A2, A3, HDM A3",Auto,P582708,210550,88
119,,,,,,,,,,32,,,,46,,,,56,,,,10,"2024, YE",3/31/2024 0:00,56,56,0.1563,FHRx,"F2, HDM A2",Auto,P542816,500045,261
122,,,,,,79,,,,72,,61,,65,,,,,,,,-7,"2023, YE",12/31/2023 0:00,65,65,0.0562,FHRx,A3,Auto,P0,579188,219
125,,57,56,54,59,61,65,67,67,65,64,63,62,64,66,68,67,70,70,,0,4,"2025, Q1",6/30/2024 0:00,70,70,0.0303,Public,"A1, HDM F1",Auto,P633880,21340,138
126,43,47,49,52,66,67,65,63,62,54,53,42,42,52,52,47,,,,,,5,"2024, Q2",6/30/2024 0:00,47,47,0.4149,Public,A0,Auto,P615901,90220,15
133,43,47,49,52,66,67,65,63,62,54,53,42,42,52,52,47,,,,,,5,"2024, Q2",6/30/2024 0:00,47,47,0.4149,Public,"F0, F3",Auto,P615901,21360,
134,32,37,36,44,51,59,52,45,38,36,33,32,35,36,35,34,,,,,-1,2,"2024, Q2",6/30/2024 0:00,34,34,1.784,Public,F3,Auto,P464102,40250,90
137,,20,,,,25,26,25,44,69,,,,68,,,,,,,,-1,"2023, YE",12/31/2023 0:00,68,68,0.039,FHRx,A2,Auto,P335091,510568,
141,,20,,,,25,26,25,44,69,,,,68,,,,,,,,-1,"2023, YE",12/31/2023 0:00,68,68,0.039,FHRx,A2,Auto,P335091,21877,
140,,20,,,,25,26,25,44,69,,,,68,,,,,,,,-1,"2023, YE",12/31/2023 0:00,68,68,0.039,FHRx,A2,Auto,P335091,512976,
142,,20,,,,25,26,25,44,69,,,,68,,,,,,,,-1,"2023, YE",12/31/2023 0:00,68,68,0.039,FHRx,A2,Auto,P335091,519645,
143,61,51,42,42,47,66,74,77,79,67,65,59,55,54,51,54,,,,,3,-5,"2024, Q2",6/30/2024 0:00,54,54,0.1945,Public,F0,Auto,P445290,595248,80
148,61,51,42,42,47,66,74,77,79,67,65,59,55,54,51,54,,,,,3,-5,"2024, Q2",6/30/2024 0:00,54,54,0.1945,Public,F0,Auto,P445290,595248,80
149,61,51,42,42,47,66,74,77,79,67,65,59,55,54,51,54,,,,,3,-5,"2024, Q2",6/30/2024 0:00,54,54,0.1945,Public,F0,Auto,P445290,595248P,
147,,60,,,,28,,,,38,,32,,41,,,,,,,,3,"2023, YE",12/31/2023 0:00,41,41,0.8004,FHRx,"A1, HDM A1",Auto,P144252,521095,
158,,60,,,,28,,,,38,,32,,41,,,,,,,,3,"2023, YE",12/31/2023 0:00,41,41,0.8004,FHRx,"A2, HDM A1",Auto,P144252,582915,
159,,60,,,,28,,,,38,,32,,41,,,,,,,,3,"2023, YE",12/31/2023 0:00,41,41,0.8004,FHRx,"A1, HDM A1",Auto,P144252,512031,
156,,60,,,,28,,,,38,,32,,41,,,,,,,,3,"2023, YE",12/31/2023 0:00,41,41,0.8004,FHRx,A1,Auto,P144252,592683,
160,,69,,80,,72,,,,81,86,,,88,,,,,,,,7,"2023, YE",12/31/2023 0:00,88,88,0.0014,FHRx,"A1, A3",Auto,P0,519326,184
162,,68,,58,,30,,,,44,,,,89,,,,,,,,45,"2023, YE",12/31/2023 0:00,89,89,0.001,FHRx,"A1, HDM A1",Auto,P198856,520243,176
164,82,72,74,79,79,76,77,77,80,80,79,80,83,80,81,82,,,,,1,2,"2024, Q2",6/30/2024 0:00,82,84,0.0049,Public,"A1, HDM F1",Auto,P711122,505724,3
165,82,72,74,79,79,76,77,77,80,80,79,80,83,80,81,82,,,,,1,2,"2024, Q2",6/30/2024 0:00,82,84,0.0049,Public,A1,Auto,P711122,519817,
166,,47,57,,34,40,,,,34,,27,,43,46,,,,,,3,,"2024, Q1",3/31/2024 0:00,46,80,0.4626,FHRx,A3,Auto,P0,511265,178
167,,81,,86,,85,,83,,85,,87,,88,,87,,,,,,0,"2024, Q2",6/30/2024 0:00,87,87,0.0017,Public,F3,Auto,P698046,507231,
169,53,55,60,67,68,67,65,63,66,70,72,72,71,72,71,72,,,,,1,0,"2024, Q2",6/30/2024 0:00,72,73,0.0233,Public,F3,Auto,P679245,21640,
171,37,39,57,59,60,51,36,39,38,35,38,38,37,64,64,62,,,,,-2,24,"2024, Q2",6/30/2024 0:00,62,38,0.0798,Public,F0,Auto,P644770,100380,120
173,,,,,,30,,,,53,,,,50,,,,,,,,-3,"2023, YE",12/31/2023 0:00,50,50,0.3,FHRx,"A3, F2",Auto,P0,516879,
174,,49,,,,66,,,,47,,,,43,,,,,,,,-4,"2023, YE",11/30/2023 0:00,43,43,0.6416,FHRx,A2,Auto,P375711,21320,205
175,,29,,,,38,,,,38,30,49,,47,,,,54,,,,12,"2024, YE",3/31/2024 0:00,54,54,0.1945,FHRx,F3,Auto,P100511,514282,297
182,,29,,,,38,,,,38,30,49,,47,,,,54,,,,12,"2024, YE",3/31/2024 0:00,54,54,0.1945,FHRx,"F3, PU, HDM A2",Auto,P100511,33670,
180,,36,,,,27,32,,,39,38,41,43,38,,50,,,,,,9,"2024, Q2",2/29/2024 0:00,50,50,0.3,FHRx,A2,Auto,P0,516167,195
184,69,69,71,72,71,69,71,70,69,68,70,71,69,64,66,69,,,,,3,-2,"2024, Q2",6/30/2024 0:00,69,72,0.0344,Public,"A3, HDM A3",Auto,P573393,12339,
188,,,,,,42,,,,32,,,,34,,56,,75,,,,41,"2024, YE",3/31/2024 0:00,75,75,0.0153,FHRx,"A1, F3, HDM A1",Auto,P0,33500,226
191,65,66,68,76,91,89,88,87,87,87,88,77,77,83,82,90,,,,,8,13,"2024, Q2",6/30/2024 0:00,90,90,0.001,Public,F0,Auto,P880199,578242P,212
192,38,49,54,52,49,43,52,54,57,31,37,39,27,68,65,66,66,65,67,,2,2,"2025, Q1",6/30/2024 0:00,67,69,0.0441,Public,F2,Auto,P280274,519771,63
194,,,,,,,,,,18,,,,20,20,,,19,,,,-1,"2024, YE",3/31/2024 0:00,19,19,13.2796,FHRx,"F3, HDM F3",Auto,P161394,32924,238
195,50,48,49,53,56,56,57,54,48,38,36,36,36,42,46,37,31,,,,-6,-5,"2024, Q3",6/30/2024 0:00,31,71,2.564,Public,F0,Auto,P968361,580404,149
196,88,91,,,89,90,83,71,88,93,,,,92,,,,,,,,-1,"2023, YE",12/31/2023 0:00,92,92,0.001,FHRx,F0,Auto,P0,581216,223
197,,27,,25,,23,27,32,29,30,,,,58,,63,,,,,,,"2024, Q2",6/30/2024 0:00,63,63,0.0711,FHRx,"A2, HDM A2",Auto,P0,503898,191
201,,47,,,,59,,,,65,72,,,,,,,,,,7,,"2023, Q1",3/31/2023 0:00,72,72,0.0233,FHRx,"A1, HDM F1",Auto,P0,133013,202
204,47,53,62,62,54,53,54,54,54,54,55,58,64,66,66,68,,,,,2,10,"2024, Q2",6/30/2024 0:00,68,68,0.039,Public,F3,Auto,P805922,510977,
207,38,40,,36,,40,,,,40,,40,,41,,,,,,,,1,"2023, YE",12/31/2023 0:00,41,41,0.8004,FHRx,F0,Auto,P768606,583554,170
208,,,,,,,,,,16,,,,20,,24,,57,,,,37,"2024, YE",3/31/2024 0:00,57,57,0.14,FHRx,"F2, HDM F2",Auto,P242219,012373P,305
210,76,74,72,70,72,69,72,72,71,59,59,61,57,55,58,68,69,70,71,,1,13,"2025, Q1",6/30/2024 0:00,71,71,0.0266,Public,"F2, HDM F2",Auto,P242219,12373,100
212,76,74,72,70,72,69,72,72,71,59,59,61,57,55,58,68,69,70,71,,1,13,"2025, Q1",6/30/2024 0:00,71,71,0.0266,Public,A1,Auto,P242219,505508,
211,,53,,,,49,,,,41,,,,,,,,,,,,-8,"2022, YE",12/31/2022 0:00,41,46,0.8004,FHRx,"F3, HDM F3",Auto,P0,517963,111
217,,66,,,,64,,,,77,,,,73,,,,,,,,-4,"2023, YE",12/31/2023 0:00,73,73,0.0203,FHRx,"A3, HDM A3",Auto,P423034,192757,245
218,30,30,31,61,82,85,88,88,85,77,54,51,54,56,55,50,,,,,-5,-1,"2024, Q2",6/30/2024 0:00,50,53,0.3,Public,"A2, HDM A2",Auto,P350162,61024,
222,,74,,84,,82,,77,,78,,82,,84,,83,,,,,,1,"2024, Q2",6/30/2024 0:00,83,86,0.0041,Public,"F3, PU",Auto,P866838,130790,
229,39,39,42,49,58,57,50,42,38,43,40,43,49,52,45,45,,,,,0,2,"2024, Q2",6/30/2024 0:00,45,45,0.5158,Public,HDM F0,Auto,P966422,194090,19
239,39,39,42,49,58,57,50,42,38,43,40,43,49,52,45,45,,,,,0,2,"2024, Q2",6/30/2024 0:00,45,45,0.5158,Public,"F0, F2, F3, HDM F1",Auto,P966422,21450,
236,39,39,42,49,58,57,50,42,38,43,40,43,49,52,45,45,,,,,0,2,"2024, Q2",6/30/2024 0:00,45,45,0.5158,Public,"F0, F3, HDM F3",Auto,P966422,90941,
234,39,39,42,49,58,57,50,42,38,43,40,43,49,52,45,45,,,,,0,2,"2024, Q2",6/30/2024 0:00,45,45,0.5158,Public,F3,Auto,P966422,508572,
240,39,39,42,49,58,57,50,42,38,43,40,43,49,52,45,45,,,,,0,2,"2024, Q2",6/30/2024 0:00,45,45,0.5158,Public,"A3, HDM F1",Auto,P966422,160520,
238,39,39,42,49,58,57,50,42,38,43,40,43,49,52,45,45,,,,,0,2,"2024, Q2",6/30/2024 0:00,45,45,0.5158,Public,A1,Auto,P966422,521043,
242,39,39,42,49,58,57,50,42,38,43,40,43,49,52,45,45,,,,,0,2,"2024, Q2",6/30/2024 0:00,45,45,0.5158,Public,A1,Auto,P966422,588700,
244,27,25,25,31,22,20,19,19,20,20,18,15,21,26,23,22,,,,,-1,7,"2024, Q2",6/30/2024 0:00,22,23,8.4984,Public,"A1, F2, F3",Auto,P628779,511652,33
245,,34,,,,52,,,,55,,,,31,,,,,,,,-24,"2023, YE",12/31/2023 0:00,31,31,2.564,FHRx,A1,Auto,P0,519950,325
249,,32,,,,25,,,,23,,21,21,25,,28,26,,,,-2,5,"2024, Q3",3/30/2024 0:00,26,26,4.8748,FHRx,"A2, A3, F2, F3, GEN 2, HDM A3",Auto,P282736,501160,124
253,69,71,75,77,71,71,71,66,79,80,79,80,78,79,78,78,,,,,0,-2,"2024, Q2",6/30/2024 0:00,78,80,0.0097,Public,"F3, HDM F1",Auto,P509543,32590,4
256,18,17,,,41,50,,,,18,,,,38,,65,,,,,,,"2024, Q2",12/30/2023 0:00,65,65,0.0562,FHRx,A1,Auto,P397058,519067,
257,43,38,40,39,40,50,53,55,51,51,49,50,49,42,37,37,37,39,39,,,2,"2025, Q1",6/30/2024 0:00,39,40,1.0013,Public,A1,Auto,P486151,592413P,
