,Vlookup Supplier #,accountsPayable,accountsReceivable,bankCashBalances,bankOverdraft,debitOwnedWithinOneYear,financialAssets,fixedAssets,intangibleAssets,otherCurrentAssets,otherCurrentLiabilities,otherEquity,otherTermAssets,otherTermLiabilities,prepayments,retainedEarnings,subscribedCapital,termLoans,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalInventories,totalLiabilities,totalShareholderEquity,totalTermAssets,totalTermLiabilities,accountPayableAccrualFromCashFlow,capitalExpenditure,changeInInventoriesFromCashFlow,netChangeInCashAndCashEquivalents,netFundingCashFlow,netInvestingCashFlow,unbilledAccountsReceivableRevenueFromCashFlow,currency,financialDate,period,abnormalItems,amortization,companyTaxExpense,costOfGoodsSold,depreciation,earningsBeforeInterestAndTax,grossProfit,interestExpense,interestReceived,investmentIncome,netInvestmentIncome,netProfitAfterTax,netProfitAfterTaxAndMinorityInterests,netProfitBeforeTax,netSurplus,otherIncome,otherInvestmentExpense,otherOperatingExpense,totalOperatingExpense,totalOperatingRevenue,totalStaffCosts,salesRevenue,RRID,id,eqyYear,CHS,FHR
23,505724,,,949.0,,63.0,624.0,3697.0,,,,,,,,,,3665.0,14104.0,5900.0,3573.0,,8097.0,6007.0,,,,,,,-268.0,-1356.0,,USD,2023-09-30,Q3,-174.0,,366.0,,,1384.0,,82.0,41.0,,,836.0,,,,,,,,,,16430.0,WJG7eBJ,2023Q3,2023,73,83
24,505724,,,848.0,,65.0,835.0,4669.0,,,,,,,,,,4191.0,17317.0,6876.0,4235.0,,9536.0,7781.0,,,,,,,-426.0,-1552.0,,USD,2023-06-30,Q2,-167.0,,337.0,,,1473.0,,79.0,35.0,,,1023.0,,,,,,,,,,16868.0,WJG7eBJ,2023Q2,2023,70,80
25,505724,,,950.0,,62.0,895.0,4660.0,,,,,,,,,,4175.0,17117.0,6607.0,4148.0,,9438.0,7679.0,,,,,,,-462.0,-1446.0,,USD,2023-03-31,Q1,-131.0,,288.0,,,1362.0,,79.0,32.0,,,1032.0,,,,,,,,,,16107.0,WJG7eBJ,2023Q1,2023,69,79
26,505724,,,1338.0,,62.0,896.0,4564.0,,,,,,,,,,4166.0,16994.0,6617.0,4236.0,,9486.0,7508.0,,,,,,,-567.0,-1418.0,,USD,2022-12-31,YE,-116.0,,292.0,,,1374.0,,78.0,26.0,,,1026.0,,,,,,,,,,15801.0,WJG7eBJ,2022YE,2022,69,80
27,505724,,,1241.0,,56.0,422.0,4190.0,,,,,,,,,,4080.0,16077.0,6547.0,3816.0,,9040.0,7037.0,,,,,,,-557.0,-843.0,,USD,2022-09-30,Q3,-145.0,,253.0,,,1191.0,,79.0,19.0,,,901.0,,,,,,,,,,15348.0,WJG7eBJ,2022Q3,2022,68,80
28,505724,,,1390.0,,60.0,442.0,4327.0,,,,,,,,,,4156.0,16144.0,6480.0,3651.0,,8973.0,7171.0,,,,,,,-471.0,-684.0,,USD,2022-06-30,Q2,-178.0,,228.0,,,1055.0,,82.0,16.0,,,726.0,,,,,,,,,,14704.0,WJG7eBJ,2022Q2,2022,64,77
29,505724,,,1501.0,,64.0,473.0,4521.0,,,,,,,,,,4223.0,16678.0,6640.0,3859.0,,9340.0,7338.0,,,,,,,142.0,-1464.0,,USD,2022-03-31,Q1,-226.0,,199.0,,,1100.0,,103.0,13.0,,,769.0,,,,,,,,,,14703.0,WJG7eBJ,2022Q1,2022,64,77
30,32590,,,161.246,,0.0,,115.94,,,,,,,,,,65.0,725.622,314.862,92.447,,202.871,522.751,,,,,,,-67.491,-14.923,,USD,2024-06-30,Q2,-7.15,,12.674,,,66.744,,3.453,5.317,,,55.117,,,,,,,,,,515.158,YA5vokD,2024Q2,2024,56,78
31,32590,,,162.425,,0.0,,116.916,,,,,,,,,,67.5,732.84,318.218,95.948,,211.555,521.285,,,,,,,-65.082,-14.236,,USD,2024-03-31,Q1,-7.855,,12.795,,,67.412,,3.438,4.948,,,53.307,,,,,,,,,,530.178,YA5vokD,2024Q1,2024,56,78
32,32590,,,163.876,,0.0,,119.017,,,,,,,,,,67.5,741.167,319.349,97.039,,214.345,526.822,,,,,,,-65.399,-18.097,,USD,2023-12-31,YE,-7.074,,14.621,,,75.051,,3.331,4.625,,,60.532,,,,,,,,,,550.422,YA5vokD,2023YE,2023,59,79
